,IR0,IR1,IR2,IR3,IR4,IR5,IR6,IR7,Smell,Turn,Move
0,100,12,6,12,16,26,100,47,-43.854237161824926,-67.15627114854749,12.399999999999999
1,56,100,58,19,19,23,23,69,23.692675627297206,7.107802688189161,10.0
2,31,100,60,26,31,26,30,100,16.823042707541788,5.046912812262536,10.0
3,16,97,65,34,43,32,40,100,11.948884806177944,3.584665441853383,10.0
4,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
5,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
6,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
7,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
8,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
9,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
10,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
11,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
12,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
13,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
14,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
15,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
16,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
17,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
18,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
19,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
20,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
21,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
22,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
23,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
24,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
25,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
26,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
27,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
28,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
29,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
30,5,36,71,41,54,37,49,96,8.476515262478415,0.0,0.0
31,5,36,71,41,54,37,49,96,8.476515262478415,-113.0,20.0
32,18,45,100,23,100,54,48,21,122.916766195332,36.875029858599596,10.0
33,24,83,34,25,70,54,17,11,86.88480130919544,62.06544039275863,11.6
34,100,22,23,69,51,17,18,63,25.215375185171354,7.564612555551406,10.0
35,100,16,19,74,48,22,27,100,17.914578521466524,5.374373556439957,10.0
36,87,9,14,81,51,27,37,56,12.731958362097771,-41.18041249137067,12.0
37,44,80,100,16,92,45,26,38,54.77816208812504,16.433448626437514,10.0
38,100,58,100,22,100,35,29,62,38.90541665643582,11.671624996930746,10.0
39,100,60,100,27,93,36,37,27,27.653255131461094,8.295976539438328,10.0
40,100,66,100,25,79,39,47,17,19.66574788576844,5.899724365730532,10.0
41,57,64,100,33,77,45,20,100,13.9910248136174,4.19730744408522,10.0
42,41,25,100,40,80,51,12,100,9.957215210368418,29.98716456311053,11.2
43,16,100,45,100,65,20,100,42,-20.398468837857763,-6.119540651357329,10.0
44,7,6,100,51,78,28,100,30,-14.524229793226311,-45.0,2.0
45,28,6,6,100,53,79,29,100,30.576955825893094,-35.826913252232075,12.0
46,100,24,8,10,100,100,25,29,67.50994881038946,-24.747015356883164,12.0
47,31,67,22,15,100,70,81,16,93.46177276619125,28.038531829857373,10.0
